Job Title,Job Link,Company,Location,Education,Experience,Deadline,Job Description
Site Engineer (Construction),https://jobs.bdjobs.com/jobdetails.asp?id=1355976&fcatId=5&ln=1,REL Bangladesh .,Anywhere in Bangladesh,Bachelor of Science (BSc) in Civil EngineeringBachelor of Science (BSc) in Electrical & Electronic...,2 to 5 year(s),10-May-25,"Fresher Encourage to apply.
PGCB & BREB Grid Sub- Station work experience will be given preference.
Project management, Project costing, Material management, Planning & progress monitoring, Sub-contractor dealing, overall supervision, liaison and preparing bills.
Excellent communication and negotiation skills.
Ability to work under pressure and maintaining deadlines.
Well organized and a good team player.
Must have knowledge of various construction work such pilings, land development, factory building & finishing.
Must be Sincere, dedicated, target oriented & honest
Able to work under pressure
English Proficiency
Skill required: Auto-cad, Estimation & Construction. Responsible to complete Project work within the Schedule time as per targets set by management.

Prepare technical proposals and method statements as per task requirements.

Co-ordination with the entire Department that is involved in the Project

Set meeting with related government officials if necessary.

Ensure supervision & Project progress as per work schedule.

Study all drawing and Maintaining work accordingly.

Responsible for checking sub-contractor bill.

Ensure safety & security

Ensure quality of Work and construction materials.

Any other works assigned by Management."
Civil Engineer/ Architect,https://jobs.bdjobs.com/jobdetails.asp?id=1356025&fcatId=5&ln=1,Belief International Co. Limited,Dhaka,Bachelor of Science (BSc)Diploma in CivilBachelor of Science (BSc) in ArchitectureB. Sc/ Diploma...,At least 2 year(s),10-May-25,"Age 22 to 30 years
Candidate should be practical experienced in relevant field & position in any National, Multinational and Government Organization at least 2-years.

Candidate should be experienced and strong knowledge in Civil Engineering Specially in Supervision of rebar works.

Auto Cad 2D skilled & must running working.

Excellent Command in English both of verbal and written.

Computer knowledge MS-Office must.

Should have excellent Team Building capability.

Should be Hardworking and Self motivated.

Ability to work under pressure Prepare Design of Reinforced structure using customized software as well including 3D modeling well conversant with Auto CAD (2D-3D).

Prepare master design specifications, dimensions, thickness etc.

Overseeing structural design and revisions in structural design.

Review the drawings received from consultant / client.

Train and supervise technical and non-technical staff of Design, Construction & Engineering team.

Coordination between Management and Project sites

Perform any other tasks assigned by the management."
Senior Architect (Architecture & Interior Design Leadership),https://jobs.bdjobs.com/jobdetails.asp?id=1355966&fcatId=5&ln=1,House De Arch Ltd.,Dhaka,Bachelor of Architecture (B.Arch) in Architecture,At least 6 year(s),20-Apr-25,"3D Studio Max
AutoCAD
LUMION
SketchUp
VRAY"
Senior Architect,https://jobs.bdjobs.com/jobdetails.asp?id=1355915&fcatId=5&ln=1,WASO Engineers & Consultants (BD) Ltd.,Kalabagan,Bachelor of Architecture (B.Arch)Members of IAB and Rajuk (ECPS) enlistments will get an upper...,At least 5 year(s),10-May-25,"Adobe After Effcet
Adobe Photoshop
AutoCAD
BIM Software
Illustrator
LUMION
MICROSOFT OFFICE
Rhino
Sketch up pro"
SCADA Engineer (Solar EPC),https://jobs.bdjobs.com/jobdetails.asp?id=1355852&fcatId=5&ln=1,Solar EPC,"Anywhere in Bangladesh, Dhaka",Bachelor in Engineering (BEngg)Bachelor of Science (BSc)Bachelor of Science (Pass)Bachelor’s...,1 to 2 year(s),10-May-25,"Computer skill
PLC Programming
SCADA
Solar energy
Solar Power Plant"
Asst. Architectural Visualizer,https://jobs.bdjobs.com/jobdetails.asp?id=1353501&fcatId=5&ln=1,Trimatrik Studio,Uttara,N/A,At least 2 year(s),30-Apr-25,3ds max
DevOps Engineer,https://jobs.bdjobs.com/jobdetails.asp?id=1355813&fcatId=5&ln=1,Cosmos Group,Dhaka,Bachelor in Engineering (BEngg) in Computer Science & Engineering,3 to 5 year(s),24-Apr-25,"Proficiency in DevOps tools and platforms (e.g., Docker, Kubernetes, Jenkins).

3-5 Years Experience in DevOps Experience with cloud platforms like DigitalOcean, AWS, or Google Cloud and their native DevOps tools.

Strong scripting skills in languages such as Python, Bash, or PowerShell for automation.

Familiarity with performance testing tools (e.g., JMeter, LoadRunner).

Solid knowledge of cybersecurity practices, tools, and frameworks (e.g., OWASP, CIS benchmarks).

Familiarity with firewalls, intrusion detection/prevention systems, and SIEM solutions.

Excellent troubleshooting and problem-solving skills.

Experience with CI/CD pipelines and collaboration with development and QA teams.

Knowledge of incident response frameworks like NIST or ISO standards. Problem Diagnosis and Resolution

Identify and resolve system issues, determining whether they require internal attention or escalation to external vendors.

Content Management System Maintenance

Manage and update content management systems (CMS), ensuring they remain secure and operational.

DevOps Dashboard Management

Monitor and maintain DevOps dashboards to provide real-time insights into system performance and health.

Cloud Platform Management

Work with cloud platforms like DigitalOcean, AWS, or Google Cloud, leveraging their native DevOps tools (e.g., AWS CodePipeline, Google Cloud Build) for infrastructure management and deployments.

Scripting and Automation

Automate routine tasks and configuration management using scripting languages such as Python, Bash, or PowerShell.

CI/CD Pipeline Optimization

Collaborate with development, QA, and IT teams to design, implement, and optimize CI/CD pipelines, ensuring streamlined and efficient workflows.

Vendor Coordination

Serve as the primary liaison with external vendors for issue reporting and resolution.

Certificate and License Tracking

Monitor and renew system certificates and licenses before expiration to ensure uninterrupted operations.

Performance Testing

Conduct regular performance tests on websites and servers using tools like JMeter or LoadRunner to ensure reliability, security, and efficiency.

Cybersecurity Oversight

Monitor systems for vulnerabilities and implement security measures to mitigate risks.

Ensure regular updates and patches are applied to software and infrastructure to prevent security breaches.

Manage access controls and permissions to secure sensitive data and systems.

Stay updated with the latest cybersecurity trends and threats to proactively address risks.

Incident Response

Develop and maintain incident response plans in alignment with NIST or ISO standards to handle cybersecurity incidents effectively.

Investigate and resolve security breaches or suspicious activities promptly."
Computer Technician (Internship),https://jobs.bdjobs.com/jobdetails.asp?id=1355787&fcatId=5&ln=1,Rayns Computers,Dhanmondi,Diploma or certification in Computer Engineering or a relevant field is a plus.,Na,25-Apr-25,"Computer Assembly and Configuration
Computer Technician
Computer Troubleshooting
Desktop hardware
Hardware/Software Troubleshooting
Technical Skills"
Lead Structural Designer,https://jobs.bdjobs.com/jobdetails.asp?id=1355750&fcatId=5&ln=1,WASO Engineers & Consultants (BD) Ltd.,Anywhere in Bangladesh,Bachelor of Science (BSc) in Civil Engineering,7 to 10 year(s),10-May-25,"AutoCAD
ETABS
ETP and WTP
Familiar with BNBC 2020
PLASIX
Plumbing Design
SAP
Staad Pro"
Maintenance Engineer,https://jobs.bdjobs.com/jobdetails.asp?id=1355595&fcatId=5&ln=1,Maxim Group.,Dhaka,Bachelor of Science (BSc) in Mechanical Engineering,At least 5 year(s),09-May-25,"Age 35 to 40 years
B.Sc. Engineering (Mechanical) well experienced in Heavy Equipment maintenance having at least 5 (five) years experience in required for immediate appointment.
Interested candidates are requested to apply.
Please mention your expected salary in the CV.
Must Have Computer Literacy.
Must have experience in driving Motor Cycle. If have Driving License it will get advantage.
Have mental preparation to tour any project site anywhere in Bangladesh."
Material cum Quality Control Engineer,https://jobs.bdjobs.com/jobdetails.asp?id=1355711&fcatId=5&ln=1,A reputed International Consulting Firm,"Feni, Mirsharai",Bachelor of Science (BSc) in Civil Engineering,At least 10 year(s),20-Apr-25,"Quality Control/ Inspect
Roads and Highways"
Engineer,https://jobs.bdjobs.com/jobdetails.asp?id=1355631&fcatId=5&ln=1,Zhongda Power Technology Company Ltd,Ashulia,Bachelor of Science (BSc)Diploma in Engineering,3 to 5 year(s),23-Apr-25,"Zhongda Power Technology Company Ltd. is Manufacture of other electrical equipment with world leading machineries, state-of-the-art infrastructure and expert management team. We focus on catering superlative products meeting world class standards of quality and service in response to growing diversified demands of our customers. Our Organization is looking to Employee an Experience, Dynamic, Highly potential and versatile professional for the following positions. Engineering"
Hardware Engineer,https://jobs.bdjobs.com/jobdetails.asp?id=1355642&fcatId=5&ln=1,Global Brand PLC,Dhaka,Bachelor in Engineering (BEngg) in Computer Science & Engineering,2 to 4 year(s),09-May-25,"Computer Hardware Troubleshooting
Laptop repair
Laptop Servicing"
Technician,https://jobs.bdjobs.com/jobdetails.asp?id=1355628&fcatId=5&ln=1,Zhongda power Technology Company Ltd,Ashulia,Bachelor of Science (BSc)Diploma in Engineering,3 to 5 year(s),23-Apr-25,"Zhongda Power Technology Company Ltd. is Manufacture of other electrical equipment with world leading machineries, state-of-the-art infrastructure and expert management team. We focus on catering superlative products meeting world class standards of quality and service in response to growing diversified demands of our customers. Our Organization is looking to Employee an Experience, Dynamic, Highly potential and versatile professional for the following positions.  Engineering Technical Skills"
